,rating_num_weights,rating_average_weight,playing_time,min_age,min_players,max_players,mechanics,categories,families
The Isofarian Guard,63,3.1111,90,14,1,2,"['Action Points', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Card Game', 'Exploration', 'Fantasy', 'Fighting']","['Components: Game Trayz Inside', 'Crowdfunding: Kickstarter', 'Mechanism: Campaign Games', 'Misc: Forteller Audio Narration', 'Players: Games with Solitaire Rules']"
Adventure Games: The Dungeon,67,1.6866,90,12,1,4,"['Cooperative Game', 'Narrative Choice / Paragraph', 'Storytelling']","['Exploration', 'Fantasy', 'Puzzle']","['Misc: Limited Replayability', 'Series: Adventure Games (Kosmos)']"
Unlock!: Secret Adventures – The Adventurers of Oz,20,2.85,60,10,1,6,"['Cooperative Game', 'Storytelling']","['Card Game', 'Exploration', 'Puzzle', 'Real-time']","['Books: The Wizard of Oz', 'Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Series: Unlock! (Space Cowboys)']"
Bios: Megafauna (Second Edition),144,4.5139,180,12,1,4,"['Area Majority / Influence', 'Modular Board', 'Open Drafting', 'Simultaneous Action Selection']","['Environmental', 'Prehistoric', 'Territory Building']","['Animals: Dinosaurs', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Digital Implementations: VASSAL', 'Misc: LongPack Games', 'Players: Games with Solitaire Rules', 'Series: BIOS (Phil Eklund)', 'Theme: Biology', 'Theme: Evolution', 'Theme: Science', 'Theme: Weather']"
High Frontier,230,4.3435,180,12,2,5,"['Auction/Bidding', 'Dice Rolling', 'Hand Management', 'Pick-up and Deliver', 'Point to Point Movement', 'Simulation', 'Variable Player Powers']","['Economic', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration']","['Components: Map (Interplanetary or Interstellar scale)', 'Game: High Frontier', 'Occupation: Astronaut', 'Occupation: Engineer', 'Space: Comets', ""Space: Earth's Solar System"", 'Space: Jupiter', 'Space: Mercury', 'Space: Venus']"
Thanos Rising: Avengers Infinity War,44,2.0,90,10,2,4,"['Cooperative Game', 'Dice Rolling', 'Open Drafting', 'Re-rolling and Locking']","['Card Game', 'Comic Book / Strip', 'Dice', 'Movies / TV / Radio theme']","['Comic Books: Marvel Universe', 'Components: Miniatures', 'Series: ... Rising (The Op)', 'Theme: Superheroes']"
A Study in Emerald (Second Edition),131,2.9389,60,13,2,5,"['Area Majority / Influence', 'Auction/Bidding', 'Deck, Bag, and Pool Building', 'Hand Management', 'Hidden Roles', 'Open Drafting', 'Point to Point Movement', 'Team-Based Game']","['Horror', 'Murder/Mystery', 'Novel-based', 'Political', 'Spies/Secret Agents', 'Zombies']","['Books: Sherlock Holmes', 'Theme: Cthulhu Mythos']"
Zombicide: Undead or Alive,18,2.4444,60,14,1,6,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Multiple Maps', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']","['American West', 'Fighting', 'Horror', 'Miniatures', 'Zombies']","['Admin: Better Description Needed!', 'Category: Dungeon Crawler', 'Components: Miniatures', 'Continents: North America', 'Country: Mexico', 'Country: USA', 'Creatures: Zombies', 'Crowdfunding: Kickstarter', 'Game: Zombicide', 'Players: Games with Solitaire Rules']"
Unlock!: Mystery Adventures – The House on the Hill,27,1.8148,60,10,1,6,"['Cooperative Game', 'Storytelling']","['Card Game', 'Exploration', 'Puzzle', 'Real-time']","['Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Series: Unlock! (Space Cowboys)', 'Theme: Spooky Old Houses']"
The Adventurers: The Temple of Chac,375,1.6613,45,10,2,6,"['Action Points', 'Bias', 'Dice Rolling', 'Grid Movement', 'Memory', 'Push Your Luck', 'Variable Player Powers']","['Adventure', 'Ancient', 'Exploration', 'Miniatures']","['Country: Mexico', 'Game: The Adventurers', 'Occupation: Adventurer / Explorer', 'Theme: Archaeology / Paleontology', 'Theme: Temple', 'Theme: Tropical']"
Exit: The Game – The Haunted Roller Coaster,32,2.0,90,10,1,4,"['Cooperative Game', 'Real-Time']",['Deduction'],"['Category: Escape Room Games', 'Series: Exit: The Game']"
MicroMacro: Crime City – All In,29,1.1034,45,12,1,4,"['Cooperative Game', 'Deduction', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Team-Based Game']","['Deduction', 'Humor', 'Murder/Mystery']","['Components: Map (City Scale)', 'Game: MicroMacro', 'Mechanism: Campaign Games', 'Misc: Limited Replayability', 'Theme: City', 'Theme: Mystery / Crime']"
ALIEN: Fate of the Nostromo,81,2.0,60,10,1,5,"['Action Points', 'Cooperative Game', 'Pick-up and Deliver', 'Variable Player Powers']","['Horror', 'Movies / TV / Radio theme']","['Components: Miniatures', 'Creatures: Aliens / Extraterrestrials', 'Movies: Alien / Aliens', 'Movies: Horror Movies']"
Sleeping Gods: Distant Skies,23,2.7391,600,13,1,4,"['Action Points', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Solo / Solitaire Game', 'Storytelling']","['Adventure', 'Exploration', 'Fantasy', 'Mythology']","['Crowdfunding: Gamefound', 'Game: Sleeping Gods', 'Misc: Forteller Audio Narration', 'Setting: The Wandering World']"
Legendary Encounters: A Firefly Deck Building Game,36,2.5833,90,14,1,5,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Solo / Solitaire Game']","['Card Game', 'Movies / TV / Radio theme', 'Science Fiction']","['Game: Legendary (Upper Deck Entertainment)', 'Players: Games with Solitaire Rules', 'TV Shows: Firefly']"
Marvel: Crisis Protocol,12,3.0,45,14,2,2,"['Dice Rolling', 'Measurement Movement', 'Variable Player Powers']","['Comic Book / Strip', 'Miniatures', 'Wargame']","['Comic Books: Marvel Universe', 'Game: Marvel Crisis Protocol', 'Players: Two-Player Only Games', 'Players: Wargames with Rules Supporting Only Two Players', 'Theme: Superheroes']"
Cantaloop: Book 1 – Breaking into Prison,31,2.0968,720,16,1,4,"['Cooperative Game', 'Deduction', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling']","['Adventure', 'Deduction', 'Exploration', 'Humor', 'Puzzle', 'Video Game Theme']","['Components: Book as Board', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules', 'Series: Cantaloop', 'Series: paperpointandclick (Lookout Games)', 'Versions & Editions: Board Game Versions of Role-Playing Games']"
The Red Dragon Inn,391,1.6598,45,13,2,4,"['Betting and Bluffing', 'Hand Management', 'Player Elimination', 'Take That', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Humor', 'Medieval', 'Party Game']",['Game: The Red Dragon Inn']
Mordheim: City of the Damned,138,3.0942,60,10,2,6,"['Dice Rolling', 'Measurement Movement', 'Modular Board', 'Role Playing', 'Variable Player Powers']","['Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures', 'Wargame']","['Series: Specialist Games (Games Workshop)', 'Setting: Warhammer Fantasy Wargames']"
Dragonfire,8,1.875,60,9,3,5,"['Cooperative Game', 'Modular Board', 'Role Playing']","['Adventure', 'Fantasy']","['Category: Dungeon Crawler', 'Creatures: Dragons']"
Exit: The Game – Advent Calendar: The Mystery of the Ice Cave,19,2.0526,90,10,1,99,['Cooperative Game'],"['Deduction', 'Puzzle', 'Real-time']","['Category: Escape Room Games', 'Misc: Advent / Christmas / Jule calendar game', 'Series: Exit: The Game']"
HEXplore It: The Valley of the Dead King,48,3.25,180,12,1,6,"['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Push Your Luck', 'Role Playing']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Puzzle', 'Travel']","['Crowdfunding: Kickstarter', 'Game: HEXplore It', 'Players: Games with Solitaire Rules']"
Talisman: Revised 4th Edition,882,2.1723,90,13,2,6,"['Dice Rolling', 'Role Playing', 'Roll / Spin and Move', 'Take That', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Digital Implementations: Google Play', 'Digital Implementations: Steam', 'Game: Talisman', 'Misc: LongPack Games']"
Strat-O-Matic Baseball,108,2.3889,45,11,1,2,"['Dice Rolling', 'Simulation', 'Solo / Solitaire Game']",['Sports'],"['Components: Polyhedral (not D6) dice', 'Country: USA', 'Players: Games with Solitaire Rules', 'Series: Strat-O-Matic', 'Sports Teams: New York Mets (Metropolitans)', 'Sports: Baseball']"
Space Cadets: Dice Duel,103,2.0874,30,12,4,8,"['Action Queue', 'Dice Rolling', 'Grid Movement', 'Real-Time', 'Team-Based Game']","['Dice', 'Fighting', 'Party Game', 'Real-time', 'Science Fiction', 'Space Exploration']","['Components: Gems/Crystals', 'Digital Implementations: Tabletopia', 'Game: Space Cadets']"
Assassin's Creed: Brotherhood of Venice,34,3.1471,90,12,1,4,"['Action Points', 'Cooperative Game', 'Events', 'Line of Sight', 'Modular Board', 'Multiple Maps', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']","['Exploration', 'Fighting', 'Miniatures', 'Renaissance', 'Video Game Theme']","['Category: Dized Tutorial', 'Cities: Venice (Veneto, Italy)', 'Components: Dice with Icons', 'Components: Miniatures', 'Components: Standees', 'Crowdfunding: Kickstarter', 'Mechanism: Campaign Games', 'Theme: Infiltration', ""Video Game Theme: Assassin's Creed""]"
Altar Quest,88,3.375,90,14,1,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Variable Player Powers']","['Adventure', 'Card Game', 'Dice', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Mechanism: Campaign Games']"
Box One,21,1.9048,240,14,1,1,"['Deduction', 'Move Through Deck', 'Paper-and-Pencil', 'Solo / Solitaire Game']","['Deduction', 'Puzzle', 'Trivia']","['Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Misc: Limited Replayability', 'Players: Solitaire Only Games']"
Last Aurora,66,2.7576,90,14,1,4,"['Hand Management', 'Race', 'Worker Placement']","['Card Game', 'Science Fiction', 'Transportation']","['Region: Arctic', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Misc: LongPack Games', 'Theme: Post-Apocalyptic', 'Theme: Survival']"
Exodus: Proxima Centauri,108,3.5926,180,14,2,6,"['Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Dice Rolling', 'Follow', 'Hexagon Grid', 'Modular Board', 'Simultaneous Action Selection', 'Take That', 'Tech Trees / Tech Tracks', 'Trading', 'Voting']","['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']","['Admin: Better Description Needed!', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Mechanism: 4X']"
Eleven: Football Manager Board Game,79,3.3544,120,14,1,4,"['Closed Drafting', 'Dice Rolling', 'Open Drafting', 'Scenario / Mission / Campaign Game', 'Set Collection']","['Economic', 'Sports']","['Digital Implementations: TableTop Simulator Mod (TTS)', 'Misc: LongPack Games', 'Sports: Football / Soccer']"
A Song of Ice & Fire: Tabletop Miniatures Game – Stark vs Lannister Starter Set,35,3.0,60,14,2,2,"['Dice Rolling', 'Hand Management', 'Measurement Movement', 'Scenario / Mission / Campaign Game', 'Worker Placement']","['Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Political', 'Wargame']","['Books: A Song of Ice and Fire', 'Components: Miniatures', 'Components: Rulers', 'Crowdfunding: Kickstarter', 'Game: A Song of Ice & Fire – Tabletop Miniatures Game', 'Players: Two-Player Only Games']"
The Night Cage,50,2.06,60,14,1,5,"['Cooperative Game', 'Grid Movement', 'Pieces as Map', 'Sudden Death Ending', 'Tile Placement']","['Fantasy', 'Horror', 'Maze']","['Category: Dized Tutorial', 'Components: Official Music Soundtrack', 'Crowdfunding: Kickstarter', 'Digital Implementations: Sovranti', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Digital Implementations: Tabletopia']"
Unlock!: Mystery Adventures – The Tonipal's Treasure,22,2.4545,60,10,1,6,"['Cooperative Game', 'Storytelling']","['Card Game', 'Exploration', 'Puzzle', 'Real-time']","['Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Islands: Fictional', 'Series: Unlock! (Space Cowboys)']"
Core Space,32,2.9375,180,14,1,6,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Measurement Movement', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']","['Adventure', 'Exploration', 'Fighting', 'Miniatures', 'Science Fiction']","['Category: Dungeon Crawler', 'Components: 3-Dimensional (3D)', 'Components: Dice with Icons', 'Components: Dry Erase Markers / Dry Erase Surfaces', 'Creatures: Aliens / Extraterrestrials', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Theme: Cyberpunk', 'Theme: Robots']"
The Red Dragon Inn 3,41,1.9268,60,13,2,4,"['Betting and Bluffing', 'Hand Management', 'Variable Player Powers']","['Card Game', 'Fantasy', 'Humor', 'Medieval', 'Party Game']",['Game: The Red Dragon Inn']
John Company,100,4.15,180,14,1,6,"['Bribery', 'Dice Rolling', 'Negotiation', 'Push Your Luck', 'Simulation', 'Variable Player Powers', 'Voting']","['Economic', 'Educational', 'Negotiation', 'Political']","['Country: India', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'History: Anglo-Indian Wars', 'Theme: Colonial']"
Bootleggers,361,2.626,90,14,3,6,"['Area Majority / Influence', 'Open Drafting', 'Simultaneous Action Selection', 'Trading']","['Economic', 'Industry / Manufacturing', 'Mafia', 'Negotiation', 'Transportation']","['History: Prohibition in the USA', 'Theme: Mystery / Crime', 'Theme: Trucks']"
Heroscape Marvel: The Conflict Begins,131,2.0611,60,8,2,2,"['Dice Rolling', 'Grid Movement', 'Modular Board']","['Comic Book / Strip', 'Fighting', 'Miniatures']","['Comic Books: Marvel Universe', 'Game: Heroscape', 'Players: Two-Player Only Games', 'Theme: Superheroes']"
Eila and Something Shiny,42,2.0476,45,12,1,1,"['Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling']","['Adventure', 'Animals', 'Fantasy']","['Animals: Rabbits', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Digital Implementations: Tabletopia', 'Players: Solitaire Only Games', 'Theme: Anthropomorphic Animals']"
Chronicles of Crime: 2400,15,2.2,90,12,1,4,"['Cooperative Game', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Deduction', 'Murder/Mystery', 'Science Fiction']","['Components: Digital Hybrid – App/Website Required', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Mechanism: Campaign Games', 'Misc: Limited Replayability', 'Misc: LongPack Games', 'Series: Chronicles of Crime – The Millennium', 'Theme: Cyberpunk']"
Bios: Genesis,198,4.3788,120,12,1,4,"['Cooperative Game', 'Dice Rolling', 'Events', 'Open Drafting', 'Simulation']","['Environmental', 'Prehistoric']","['Crowdfunding: Kickstarter', 'Digital Implementations: VASSAL', 'Misc: LongPack Games', 'Series: BIOS (Phil Eklund)', 'Theme: Bacteria', 'Theme: Biology', 'Theme: Evolution', 'Theme: Nature', 'Theme: Science']"
HeroQuest Advanced Quest,63,2.2063,90,10,2,5,"['Dice Rolling', 'Modular Board', 'Role Playing', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Game: HeroQuest', 'Setting: Warhammer Fantasy Board Games']"
Relic,156,2.4744,120,14,2,4,"['Dice Rolling', 'Roll / Spin and Move', 'Variable Player Powers']","['Adventure', 'Exploration', 'Science Fiction', 'Space Exploration']","['Components: Multi-Use Cards', 'Game: Talisman', 'Setting: Warhammer 40,000 Board Games']"
Horus Heresy,164,3.7683,135,13,2,2,"['Area Movement', 'Campaign / Battle Card Driven', 'Hand Management', 'Turn Order: Time Track', 'Variable Player Powers']","['Miniatures', 'Science Fiction']","['Fictional Events: Horus Heresy', 'Players: Two-Player Only Games', 'Series: Fantasy Flight Big Box', 'Setting: Warhammer 40,000 Board Games', 'Setting: Warhammer 40,000 Wargames']"
Cutthroat Caverns,263,2.0837,90,12,3,6,"['Hand Management', 'Kill Steal', 'Player Elimination', 'Semi-Cooperative Game', 'Simultaneous Action Selection', 'Take That']","['Adventure', 'Card Game', 'Fantasy', 'Fighting', 'Humor']","['Components: Gems/Crystals', 'Game: Cutthroat Caverns']"
Thunderstone Advance: Numenera,67,2.7463,90,12,1,5,"['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting']","['Card Game', 'Fantasy', 'Science Fiction']","['Game: Thunderstone', 'Game: Thunderstone Advance']"
The Thing: Infection at Outpost 31,36,2.3333,120,17,4,8,"['Dice Rolling', 'Hand Management', 'Hidden Roles', 'Role Playing', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Voting']","['Bluffing', 'Deduction', 'Horror', 'Movies / TV / Radio theme', 'Science Fiction', 'Spies/Secret Agents']","['Components: Miniatures', 'Creatures: Aliens / Extraterrestrials', 'Movies: Horror Movies', 'Movies: The Thing']"
Warhammer Underworlds: Nightvault,19,2.4737,60,12,2,2,"['Action Points', 'Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Variable Player Powers']","['Card Game', 'Collectible Components', 'Fantasy', 'Miniatures', 'Wargame']","['Game: Warhammer Underworlds', 'Players: Two-Player Only Games']"
Infinity N3: Core Book,101,3.9208,120,12,2,2,"['Action Points', 'Critical Hits and Failures', 'Dice Rolling', 'Interrupts', 'Line of Sight', 'Measurement Movement', 'Order Counters', 'Secret Unit Deployment', 'Three Dimensional Movement', 'Zone of Control']","['Miniatures', 'Science Fiction', 'Wargame']","['Collectible: Collectible Miniatures Games', 'Components: Miniatures', 'Players: Two-Player Only Games', 'Players: Wargames with Rules Supporting Only Two Players', ""Setting: Corvus Belli's Infinity Universe"", 'Theme: Anime / Manga', 'Theme: Cyberpunk']"
"Mr. President: The American Presidency, 2001-2020",101,4.2673,600,0,1,1,"['Action Points', 'Area Majority / Influence', 'Dice Rolling', 'Simulation', 'Solo / Solitaire Game']","['Modern Warfare', 'Political']","['Country: USA', ""Decades: The 2000's"", 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games', 'Political: NATO', 'Political: United Nations']"
Four Against Darkness,40,2.075,75,0,1,1,"['Dice Rolling', 'Paper-and-Pencil', 'Solo / Solitaire Game']","['Adventure', 'Book', 'Exploration', 'Fantasy', 'Print & Play']","['Category: Dungeon Crawler', 'Game: Four Against Darkness', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games']"
Gaslands: Post-Apocalyptic Vehicular Combat,20,2.6,90,11,2,8,"['Dice Rolling', 'Movement Template']","['Book', 'Miniatures', 'Racing', 'Science Fiction', 'Wargame']","['Series: Osprey Wargames', 'Theme: Post-Apocalyptic']"
Star Trek Panic,29,2.0,90,13,1,6,['Cooperative Game'],"['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']","['Category: Tower Defense', 'Players: Games with Solitaire Rules', 'Players: Wargames with Solitaire Rules', 'Series: Panic Line (Fireside Games)', 'TV Shows: Star Trek (various)', 'Versions & Editions: Versions with IP after the original release']"
Exit: The Game – Theft on the Mississippi,22,2.6818,90,12,1,4,"['Cooperative Game', 'Deduction']","['Deduction', 'Murder/Mystery', 'Nautical']","['Rivers: Mississippi', 'Series: Exit: The Game', 'Theme: Burglary and Heists', 'Theme: Mystery / Crime']"
Conquest of the Empire,397,3.068,240,10,2,6,"['Area Majority / Influence', 'Area Movement', 'Dice Rolling']","['Ancient', 'Fighting', 'Political', 'Territory Building', 'Wargame']","['Admin: Better Description Needed!', 'Ancient: Rome', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'History: Byzantium']"
Race! Formula 90,110,3.5273,270,14,2,6,"['Hand Management', 'Open Drafting', 'Race', 'Simulation', 'Track Movement']","['Racing', 'Sports']","['Crowdfunding: Kickstarter', 'Sports: Auto Racing', 'Sports: Formula 1']"
City of Horror,150,2.4267,90,13,3,6,"['Area Movement', 'Player Elimination', 'Simultaneous Action Selection', 'Voting']","['Horror', 'Negotiation', 'Zombies']",['Theme: City']
Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set,43,3.0465,120,13,1,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Move Through Deck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']","['Adventure', 'Card Game', 'Expansion for Base-game', 'Fantasy', 'Fighting']","['Components: Polyhedral (not D6) dice', 'Mechanism: Campaign Games', 'Series: Pathfinder Adventure Card Game (Paizo Publishing)', 'Setting: Pathfinder']"
Human Punishment: Social Deduction 2.0,49,2.6531,90,10,4,16,"['Betting and Bluffing', 'Hidden Roles', 'Take That', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']","['Card Game', 'Deduction', 'Party Game', 'Science Fiction']","['Crowdfunding: Kickstarter', 'Game: Werewolf / Mafia', 'Theme: Cyberpunk']"
Legends of Andor: The Last Hope,23,3.1739,90,10,2,4,"['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Puzzle']",['Game: Legends of Andor']
Shadows of Brimstone: Forbidden Fortress,24,3.5833,120,12,1,4,"['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']","['Category: Dungeon Crawler', 'Country: Japan', 'Crowdfunding: Kickstarter', 'Game: Shadows of Brimstone', 'Mechanism: Campaign Games', 'Theme: Ninjas', 'Theme: Samurai']"
The Dresden Files Cooperative Card Game,44,2.1591,30,13,1,5,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Variable Player Powers']","['Card Game', 'Dice', 'Fantasy', 'Horror', 'Novel-based']","['Crowdfunding: Kickstarter', 'Digital Implementations: Steam']"
Kepler-3042,69,3.4058,120,14,1,4,"['Grid Movement', 'Hexagon Grid', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Turn Order: Progressive']","['Economic', 'Science Fiction', 'Space Exploration']","['Digital Implementations: Tabletopia', 'Players: Games with Solitaire Rules']"
Aliens: Another Glorious Day in the Corps,59,2.8305,120,14,1,6,['Cooperative Game'],"['Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']","['Creatures: Aliens / Extraterrestrials', 'Movies: Alien / Aliens', 'Players: Games with Solitaire Rules']"
DungeonQuest,258,1.9225,60,10,1,4,"['Dice Rolling', 'Push Your Luck', 'Rock-Paper-Scissors', 'Role Playing', 'Tile Placement', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy']","['Category: Dungeon Crawler', 'Creatures: Dragons', 'Digital Implementations: VASSAL', 'Players: Games with Solitaire Rules', 'Series: Drakborgen']"
XenoShyft: Dreadmire,29,2.6207,60,14,1,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Open Drafting', 'Solo / Solitaire Game', 'Variable Player Powers']","['Card Game', 'Horror', 'Science Fiction']","['Category: Tower Defense', 'Crowdfunding: Kickstarter']"
Stars of Akarios,49,2.8776,120,13,1,4,"['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Map Addition', 'Modular Board', 'Push Your Luck', 'Role Playing', 'Roles with Asymmetric Information', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Miniatures', 'Science Fiction', 'Space Exploration']","['Components: Game Trayz Inside', 'Crowdfunding: Kickstarter', 'Mechanism: Campaign Games']"
Hunt for the Ring,59,3.1525,180,13,2,5,"['Dice Rolling', 'Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']","['Deduction', 'Dice', 'Fantasy', 'Fighting', 'Novel-based']","['Authors: J.R.R. Tolkien', 'Components: Dice with Icons', 'Components: Miniatures', 'Mechanism: Hidden Movement', 'Players: One versus Many', 'Series: War of the Ring (Nexus/Ares Games)']"
Wings of War: Watch Your Back!,194,1.7062,20,10,2,4,"['Action Queue', 'Player Elimination', 'Simulation', 'Simultaneous Action Selection']","['Aviation / Flight', 'Card Game', 'Wargame', 'World War I']","['Components: Miniatures', 'Game: Wings of Glory', 'Occupation: Aviator']"
Gaslands: Refuelled,19,2.6316,90,11,2,8,"['Dice Rolling', 'Impulse Movement', 'Movement Template', 'Push Your Luck', 'Variable Player Powers']","['Book', 'Miniatures', 'Racing', 'Science Fiction', 'Wargame']",['Theme: Post-Apocalyptic']
Escape from Colditz,252,2.2262,180,12,2,6,"['Elapsed Real Time Ending', 'Grid Movement', 'Hexagon Grid', 'Open Drafting', 'Roll / Spin and Move', 'Set Collection', 'Simulation']","['Adventure', 'World War II']","['Cities: Colditz (Saxony, Germany)', 'Players: One versus Many']"
Once Upon a Time: The Storytelling Card Game,507,1.3669,30,8,2,6,"['Hand Management', 'Interrupts', 'Storytelling', 'Voting']","['Card Game', 'Humor', 'Party Game', 'Real-time']","['Game: Once Upon a Time', 'Mechanism: Story Creation', 'Mechanism: Storytelling card game']"
Teenage Mutant Ninja Turtles: Shadows of the Past,34,2.7353,90,14,2,5,"['Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Team-Based Game', 'Variable Player Powers']","['Comic Book / Strip', 'Fighting', 'Miniatures']","['Animals: Turtles', 'Category: Dungeon Crawler', 'Comic Books: Teenage Mutant Ninja Turtles', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Mechanism: Campaign Games', 'Players: One versus Many', 'Theme: Anthropomorphic Animals', 'Theme: Ninjas']"
DungeonQuest (Third Edition),224,2.1652,90,13,1,4,"['Modular Board', 'Player Elimination', 'Rock-Paper-Scissors', 'Tile Placement', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Components: Miniatures', 'Creatures: Dragons', 'Players: Games with Solitaire Rules', 'Series: Drakborgen', 'Setting: The Realms of Terrinoth']"
Legendary: Buffy The Vampire Slayer,19,2.2105,60,14,1,5,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Open Drafting']","['Movies / TV / Radio theme', 'Science Fiction']","['Game: Legendary (Upper Deck Entertainment)', 'Misc: LongPack Games', 'TV Shows: Buffy the Vampire Slayer']"
Unlock!: Legendary Adventures,13,2.1538,60,10,1,6,"['Cooperative Game', 'Storytelling']","['Card Game', 'Exploration', 'Puzzle', 'Real-time']","['Books: Sherlock Holmes', 'Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Folk Tales & Fairy Tales: Robin Hood', 'Series: Unlock! (Space Cowboys)']"
Duel of Ages II,91,3.4176,150,12,2,8,"['Grid Movement', 'Hexagon Grid', 'Line of Sight', 'Modular Board', 'Stat Check Resolution', 'Team-Based Game', 'Variable Player Powers']","['Adventure', 'Fantasy', 'Fighting', 'Science Fiction', 'Wargame']","['Digital Implementations: VASSAL', 'Game: Duel of Ages', 'Theme: Time Travel']"
